POSITIONS,,,,,,,,,,,,,
,,,,,,,,,,,,,
Square Off,Leg,,,,,,,,,,,,
Strategy Type, Intraday,,,,,,,,,,,,
Move SL to Cost,False,,,,,,,,,,,,
,,,,,,,,,,,,,
Lot Size, Action Type, Segment, Option Type, Target Profit, Stop Loss, Index, Expiry Type,,,,,,
1,SELL,Options,PUT,,50 pts,Banknifty,Weekly,,,,,,
1,SELL,Options,CALL,,50 pts,Banknifty,Weekly,,,,,,
,,,,,,,,,,,,,
From Date,Thu Jul 16 2020,,,,,,,,,,,,
To Date,Fri Jul 16 2021,,,,,,,,,,,,
Entry Time,09:59,,,,,,,,,,,,
Exit Time,14:55,,,,,,,,,,,,
,,,,,,,,,,,,,
Target Profit, ,,, ,,,,,,,,,
 Stop Loss,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
30 Jul 2020 (Thu),1527,1729/0,118.45 (0.54%),23.65 - 24.72,-,-437.35 (22160.85-21723.50),-1250.00 (133.35-183.35 = 50.00) 22200PE 12:41:00,2777.50 (112.05-0.95 = -111.10) 22200CE,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
31 Jul 2020 (Fri),986,1876/-1960,83.7 (0.39%),24.79 - 24.53,-,-95.45 (21645.50-21550.05),-1250.00 (411-461 = 50.00) 21600PE 10:10:00,2236.25 (479.45-390 = -89.45) 21600CE,,,,,
3 Aug 2020 (Mon),-2500,314/-2500,-96.25 (-0.44%),25.23 - 25.31,-,-223.60 (21293.35-21069.75),-1250.00 (357.05-407.05 = 50.00) 21300PE 12:40:00,-1250.00 (350.15-400.15 = 50.00) 21300CE 10:16:00,,,,,
4 Aug 2020 (Tue),2918,3042/-50,176.15 (0.84%),24.68 - 23.87,-,258.10 (21286.60-21544.70),4168.75 (312.75-146 = -166.75) 21300PE,-1250.00 (292.2-342.2 = 50.00) 21300CE 10:33:00,,,,,
5 Aug 2020 (Wed),3148,3197/-41,196.35 (0.91%),23.49 - 23.68,Day Open > PDH,-384.80 (21874.10-21489.30),-1250.00 (221.3-271.3 = 50.00) 21900PE 11:41:00,4398.75 (232.85-56.9 = -175.95) 21900CE,,,,,
6 Aug 2020 (Thu),-2500,117/-2500,134.3 (0.62%),23.53 - 23.44,-,-10.15 (21596.35-21586.20),-1250.00 (175.2-225.2 = 50.00) 21600PE 11:07:00,-1250.00 (172.2-222.2 = 50.00) 21600CE 10:20:00,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
7 Aug 2020 (Fri),1443,2033/-677,-22.35 (-0.1%),22.95 - 22.64,-,138.00 (21595.65-21733.65),2693.75 (382.95-275.2 = -107.75) 21600PE,-1250.00 (386-436 = 50.00) 21600CE 12:00:00,,,,,
10 Aug 2020 (Mon),148,1679/-303,70.9 (0.33%),22.79 - 22.17,Day Open > PDH,-41.00 (21985.05-21944.05),-1250.00 (307.35-357.35 = 50.00) 22000PE 14:12:00,1398.75 (331.95-276 = -55.95) 22000CE,,,,,
11 Aug 2020 (Tue),768,1342/0,149.95 (0.68%),21.42 - 21.37,-,119.95 (22135.40-22255.35),2018.75 (217.25-136.5 = -80.75) 22100PE,-1250.00 (290.9-340.9 = 50.00) 22100CE 14:46:00,,,,,
12 Aug 2020 (Wed),1620,1975/-24,-91.25 (-0.41%),21.82 - 20.87,-,102.55 (22160.75-22263.30),2870.00 (219.6-104.8 = -114.80) 22200PE,-1250.00 (180.3-230.3 = 50.00) 22200CE 12:38:00,,,,,
13 Aug 2020 (Thu),1502,1508/-42,131.2 (0.59%),20.47 - 20.61,Day Open > PDH,-173.90 (22387.30-22213.40),-1250.00 (105.85-155.85 = 50.00) 22400PE 11:40:00,2752.50 (111.35-1.25 = -110.10) 22400CE,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
14 Aug 2020 (Fri),3150,3375/-187,138.6 (0.62%),19.63 - 22.06,-,-592.55 (22219.45-21626.90),-1250.00 (288.15-338.15 = 50.00) 22200PE 13:30:00,4400.00 (310-134 = -176.00) 22200CE,,,,,
17 Aug 2020 (Mon),-370,1402/-964,227.55 (1.05%),22.27 - 21.47,-,-48.40 (21611.90-21563.50),-1250.00 (301.55-351.55 = 50.00) 21600PE 14:11:00,880.00 (309.15-273.95 = -35.20) 21600CE,,,,,
18 Aug 2020 (Tue),3591,3666/-309,1.15 (0.01%),20.74 - 20.53,-,433.85 (21762.00-22195.85),4841.25 (273.65-80 = -193.65) 21800PE,-1250.00 (209.7-259.7 = 50.00) 21800CE 13:33:00,,,,,
19 Aug 2020 (Wed),28,922/-982,144.8 (0.65%),20.13 - 19.94,Day Open > PDH,17.65 (22322.60-22340.25),1278.75 (181.4-130.25 = -51.15) 22300PE,-1250.00 (198.5-248.5 = 50.00) 22300CE 14:00:00,,,,,
20 Aug 2020 (Thu),960,1405/-638,-296 (-1.33%),20.52 - 20.64,Day Open < PDL,-21.45 (22038.35-22016.90),-1250.00 (93.35-143.35 = 50.00) 22000PE 12:36:00,2210.00 (113.65-25.25 = -88.40) 22000CE,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
21 Aug 2020 (Fri),770,1027/-47,191.25 (0.87%),19.81 - 20.16,Day Open > PDH,31.85 (22293.75-22325.60),570.00 (301.25-278.45 = -22.80) 22300PE,200.00 (285.5-277.5 = -8.00) 22300CE,,,,,
24 Aug 2020 (Mon),1000,1376/-920,137.25 (0.62%),19.77 - 19.39,Day Open > PDH,197.65 (22662.05-22859.70),2250.00 (265.05-175.05 = -90.00) 22700PE,-1250.00 (197.25-247.25 = 50.00) 22700CE 11:45:00,,,,,
25 Aug 2020 (Tue),86,1326/-2242,140.4 (0.61%),18.83 - 19.22,Day Open > PDH,-28.70 (23071.15-23042.45),-1250.00 (234.95-284.95 = 50.00) 23100PE 10:39:00,1336.25 (208-154.55 = -53.45) 23100CE,,,,,
26 Aug 2020 (Wed),1776,2089/-192,83.4 (0.36%),19.58 - 19.43,-,129.50 (23253.80-23383.30),3026.25 (226.95-105.9 = -121.05) 23300PE,-1250.00 (149-199 = 50.00) 23300CE 14:51:00,,,,,
27 Aug 2020 (Thu),2840,3268/-37,97.25 (0.42%),19.34 - 18.94,Day Open > PDH,67.30 (23593.70-23661.00),2265.00 (96.6-6 = -90.60) 23600PE,575.00 (92-69 = -23.00) 23600CE,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
28 Aug 2020 (Fri),2723,3103/-905,34.95 (0.15%),18.37 - 18.52,-,503.45 (23927.40-24430.85),3973.75 (324.5-165.55 = -158.95) 23900PE,-1250.00 (293.5-343.5 = 50.00) 23900CE 10:29:00,,,,,
31 Aug 2020 (Mon),6220,6566/-1281,515 (2.1%),18.72 - 22.61,Day Open > PDH,-1150.55 (24790.40-23639.85),-1250.00 (408.2-458.2 = 50.00) 24800PE 10:00:00,7470.00 (410.25-111.45 = -298.80) 24800CE,,,,,
1 Sep 2020 (Tue),-2500,2950/-2500,139.45 (0.59%),23.06 - 21.99,-,-176.85 (23807.70-23630.85),-1250.00 (435.4-485.4 = 50.00) 23800PE 10:00:00,-1250.00 (460.6-510.6 = 50.00) 23800CE 12:53:00,,,,,
2 Sep 2020 (Wed),-2500,2183/-2500,-43 (-0.18%),21.78 - 21.21,-,169.10 (23700.95-23870.05),-1250.00 (291.45-341.45 = 50.00) 23700PE 10:20:00,-1250.00 (284.6-334.6 = 50.00) 23700CE 14:17:00,,,,,
