POSITIONS,,,,,,,,,,,,,
,,,,,,,,,,,,,
Square Off,Leg,,,,,,,,,,,,
Strategy Type, Intraday,,,,,,,,,,,,
Move SL to Cost,False,,,,,,,,,,,,
,,,,,,,,,,,,,
Lot Size, Action Type, Segment, Option Type, Target Profit, Stop Loss, Index, Expiry Type,,,,,,
1,SELL,Options,PUT,,30 %,Banknifty,Weekly,,,,,,
1,SELL,Options,CALL,,30 %,Banknifty,Weekly,,,,,,
,,,,,,,,,,,,,
From Date,Thu Jul 16 2020,,,,,,,,,,,,
To Date,Fri Jul 16 2021,,,,,,,,,,,,
Entry Time,09:59,,,,,,,,,,,,
Exit Time,14:55,,,,,,,,,,,,
 Stop Loss,,,,,,,,,,,,,
Target Profit, ,,, ,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
31 Jul 2020 (Fri),2437,2662/0,83.7 (0.39%),24.79 - 24.53,-,-95.45 (21645.50-21550.05),201.25 (411-402.95 = -8.05) 21600PE,2236.25 (479.45-390 = -89.45) 21600CE,,,,,
3 Aug 2020 (Mon),685,927/-263,-96.25 (-0.44%),25.23 - 25.31,-,-223.60 (21293.35-21069.75),-1785.00 (357.05-428.45 = 71.40) 21300PE,2470.00 (350.15-251.35 = -98.80) 21300CE,,,,,
4 Aug 2020 (Tue),1977,2101/-310,176.15 (0.84%),24.68 - 23.87,-,258.10 (21286.60-21544.70),4168.75 (312.75-146 = -166.75) 21300PE,-2191.50 (292.2-379.86 = 87.66) 21300CE 13:15:00,,,,,
5 Aug 2020 (Wed),2739,2788/-41,196.35 (0.91%),23.49 - 23.68,Day Open > PDH,-384.80 (21874.10-21489.30),-1659.75 (221.3-287.69 = 66.39) 21900PE 11:46:00,4398.75 (232.85-56.9 = -175.95) 21900CE,,,,,
6 Aug 2020 (Thu),-2605,502/-2605,134.3 (0.62%),23.53 - 23.44,-,-10.15 (21596.35-21586.20),-1314.00 (175.2-227.76 = 52.56) 21600PE 11:07:00,-1291.50 (172.2-223.86 = 51.66) 21600CE 12:26:00,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
7 Aug 2020 (Fri),1704,2155/-228,-22.35 (-0.1%),22.95 - 22.64,-,138.00 (21595.65-21733.65),2693.75 (382.95-275.2 = -107.75) 21600PE,-988.75 (386-425.55 = 39.55) 21600CE,,,,,
10 Aug 2020 (Mon),-906,931/-1358,70.9 (0.33%),22.79 - 22.17,Day Open > PDH,-41.00 (21985.05-21944.05),-2305.25 (307.35-399.56 = 92.21) 22000PE 14:13:00,1398.75 (331.95-276 = -55.95) 22000CE,,,,,
11 Aug 2020 (Tue),791,1342/0,149.95 (0.68%),21.42 - 21.37,-,119.95 (22135.40-22255.35),2018.75 (217.25-136.5 = -80.75) 22100PE,-1227.50 (290.9-340 = 49.10) 22100CE,,,,,
12 Aug 2020 (Wed),1517,1873/-24,-91.25 (-0.41%),21.82 - 20.87,-,102.55 (22160.75-22263.30),2870.00 (219.6-104.8 = -114.80) 22200PE,-1352.25 (180.3-234.39 = 54.09) 22200CE 12:38:00,,,,,
13 Aug 2020 (Thu),1958,1965/-25,131.2 (0.59%),20.47 - 20.61,Day Open > PDH,-173.90 (22387.30-22213.40),-793.75 (105.85-137.6 = 31.75) 22400PE 11:40:00,2752.50 (111.35-1.25 = -110.10) 22400CE,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
14 Aug 2020 (Fri),2239,2464/-774,138.6 (0.62%),19.63 - 22.06,-,-592.55 (22219.45-21626.90),-2161.00 (288.15-374.59 = 86.44) 22200PE 13:38:00,4400.00 (310-134 = -176.00) 22200CE,,,,,
17 Aug 2020 (Mon),-1381,1042/-1975,227.55 (1.05%),22.27 - 21.47,-,-48.40 (21611.90-21563.50),-2261.75 (301.55-392.02 = 90.47) 21600PE 14:12:00,880.00 (309.15-273.95 = -35.20) 21600CE,,,,,
18 Aug 2020 (Tue),3268,3344/-631,1.15 (0.01%),20.74 - 20.53,-,433.85 (21762.00-22195.85),4841.25 (273.65-80 = -193.65) 21800PE,-1572.75 (209.7-272.61 = 62.91) 21800CE 13:33:00,,,,,
19 Aug 2020 (Wed),1767,1843/0,144.8 (0.65%),20.13 - 19.94,Day Open > PDH,17.65 (22322.60-22340.25),1278.75 (181.4-130.25 = -51.15) 22300PE,488.75 (198.5-178.95 = -19.55) 22300CE,,,,,
20 Aug 2020 (Thu),1510,1856/-88,-296 (-1.33%),20.52 - 20.64,Day Open < PDL,-21.45 (22038.35-22016.90),-700.00 (93.35-121.35 = 28.00) 22000PE 12:36:00,2210.00 (113.65-25.25 = -88.40) 22000CE,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
21 Aug 2020 (Fri),770,1027/-47,191.25 (0.87%),19.81 - 20.16,Day Open > PDH,31.85 (22293.75-22325.60),570.00 (301.25-278.45 = -22.80) 22300PE,200.00 (285.5-277.5 = -8.00) 22300CE,,,,,
24 Aug 2020 (Mon),770,1147/-1032,137.25 (0.62%),19.77 - 19.39,Day Open > PDH,197.65 (22662.05-22859.70),2250.00 (265.05-175.05 = -90.00) 22700PE,-1479.50 (197.25-256.43 = 59.18) 22700CE 11:53:00,,,,,
25 Aug 2020 (Tue),-426,814/-2754,140.4 (0.61%),18.83 - 19.22,Day Open > PDH,-28.70 (23071.15-23042.45),-1762.25 (234.95-305.44 = 70.49) 23100PE 10:40:00,1336.25 (208-154.55 = -53.45) 23100CE,,,,,
26 Aug 2020 (Wed),1908,2089/-192,83.4 (0.36%),19.58 - 19.43,-,129.50 (23253.80-23383.30),3026.25 (226.95-105.9 = -121.05) 23300PE,-1117.50 (149-193.7 = 44.70) 23300CE 14:51:00,,,,,
27 Aug 2020 (Thu),1575,1622/-256,97.25 (0.42%),19.34 - 18.94,Day Open > PDH,67.30 (23593.70-23661.00),2265.00 (96.6-6 = -90.60) 23600PE,-690.00 (92-119.6 = 27.60) 23600CE 12:24:00,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
28 Aug 2020 (Fri),1772,2152/-1856,34.95 (0.15%),18.37 - 18.52,-,503.45 (23927.40-24430.85),3973.75 (324.5-165.55 = -158.95) 23900PE,-2201.25 (293.5-381.55 = 88.05) 23900CE 10:30:00,,,,,
31 Aug 2020 (Mon),4408,4755/-1033,515 (2.1%),18.72 - 22.61,Day Open > PDH,-1150.55 (24790.40-23639.85),-3061.50 (408.2-530.66 = 122.46) 24800PE 10:19:00,7470.00 (410.25-111.45 = -298.80) 24800CE,,,,,
1 Sep 2020 (Tue),1129,1991/-6374,139.45 (0.59%),23.06 - 21.99,-,-176.85 (23807.70-23630.85),-3265.50 (435.4-566.02 = 130.62) 23800PE 11:15:00,4395.00 (460.6-284.8 = -175.80) 23800CE,,,,,
2 Sep 2020 (Wed),-2867,1248/-3987,-43 (-0.18%),21.78 - 21.21,-,169.10 (23700.95-23870.05),-2185.75 (291.45-378.88 = 87.43) 23700PE 10:25:00,-681.25 (284.6-311.85 = 27.25) 23700CE,,,,,
3 Sep 2020 (Thu),-1607,357/-1607,111.6 (0.47%),20.74 - 20.38,Day Open > PDH,-110.05 (23755.45-23645.40),-923.50 (123.15-160.09 = 36.94) 23800PE 11:32:00,-684.00 (91.2-118.56 = 27.36) 23800CE 10:24:00,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
4 Sep 2020 (Fri),-1296,1873/-1430,-411.7 (-1.75%),21.77 - 22.36,Day Open < PDL,-91.90 (23131.35-23039.45),-3143.50 (419.15-544.89 = 125.74) 23100PE 14:49:00,1847.50 (451.15-377.25 = -73.90) 23100CE,,,,,
7 Sep 2020 (Mon),1088,2504/-88,24.75 (0.11%),22.88 - 22.5,-,-244.80 (23040.85-22796.05),-2639.00 (351.85-457.41 = 105.56) 23000PE 14:35:00,3727.50 (393.1-244 = -149.10) 23000CE,,,,,
8 Sep 2020 (Tue),1447,1667/-1,26.15 (0.11%),21.99 - 22.11,-,-100.40 (22888.90-22788.50),-392.50 (299.35-315.05 = 15.70) 22900PE,1840.00 (286.6-213 = -73.60) 22900CE,,,,,
9 Sep 2020 (Wed),765,2035/-360,-257.7 (-1.13%),23.05 - 22.47,Day Open < PDL,-120.95 (22297.00-22176.05),-1643.75 (219.15-284.9 = 65.75) 22300PE 13:00:00,2408.75 (241.55-145.2 = -96.35) 22300CE,,,,,
