POSITIONS,,,,,,,,,,,,,
Strategy Type, Intraday,,,,,,,,,,,,
Square Off,Leg,,,,,,,,,,,,
,,,,,,,,,,,,,
Move SL to Cost,False,,,,,,,,,,,,
,,,,,,,,,,,,,
Lot Size, Action Type, Segment, Option Type, Target Profit, Stop Loss, Index, Expiry Type,,,,,,
1,SELL,Options,PUT,,30 %,Banknifty,Weekly,,,,,,
1,SELL,Options,CALL,,30 %,Banknifty,Weekly,,,,,,
1,SELL,Options,CALL,,50 pts,Banknifty,Weekly,,,,,,
1,SELL,Options,PUT,,50 pts,Banknifty,Weekly,,,,,,
,,,,,,,,,,,,,
From Date,Tue Jul 14 2020,,,,,,,,,,,,
To Date,Wed Jul 14 2021,,,,,,,,,,,,
Entry Time,09:59,,,,,,,,,,,,
Exit Time,14:55,,,,,,,,,,,,
,,,,,,,,,,,,,
Target Profit,0,,,,,,,,,,,,
 Stop Loss, 2500 Total MTM,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Profit,Exit Time,Max Profit/Loss,MTM Exit Type,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,(3) BN Sell 1 Lot ATM CE,(4) BN Sell 1 Lot ATM PE,
24 Jul 2020 (Fri),-2500,14:13,2204/-4392,Stop Loss Hit,-230.7 (-1%),25.02 - 24.65,-,-67.05 (22724.30-22657.25),-3236.50 (431.55-561.01 = 129.46) 22700PE 10:59:00,731.25 (400-370.75 = -29.25) 22700CE,731.25 (400-370.75 = -29.25) 22700CE,-1250.00 (431.55-481.55 = 50.00) 22700PE 10:37:00,
27 Jul 2020 (Mon),878,14:55,1578/-1722,-,2.55 (0.01%),25.51 - 25.02,-,-252.05 (22151.70-21899.65),-2984.00 (397.85-517.21 = 119.36) 22200PE 14:00:00,2556.25 (322.25-220 = -102.25) 22200CE,2556.25 (322.25-220 = -102.25) 22200CE,-1250.00 (397.85-447.85 = 50.00) 22200PE 11:28:00,
28 Jul 2020 (Tue),-2500,11:08,1163/-7187,Stop Loss Hit,91.4 (0.42%),24.79 - 23.79,-,260.20 (21859.30-22119.50),-2489.75 (331.95-431.54 = 99.59) 21900PE 10:15:00,596.25 (293.05-269.2 = -23.85) 21900CE,596.25 (293.05-269.2 = -23.85) 21900CE,-1250.00 (331.95-381.95 = 50.00) 21900PE 10:07:00,
29 Jul 2020 (Wed),-2500,14:14,2637/-6125,Stop Loss Hit,-30.2 (-0.14%),23.99 - 24.38,-,-133.60 (22121.75-21988.15),362.50 (207.45-192.95 = -14.50) 22100PE,-2069.25 (275.9-358.67 = 82.77) 22100CE 11:30:00,-1250.00 (275.9-325.9 = 50.00) 22100CE 10:53:00,362.50 (207.45-192.95 = -14.50) 22100PE,
30 Jul 2020 (Thu),3305,14:55,3458/0,-,118.45 (0.54%),23.65 - 24.72,-,-437.35 (22160.85-21723.50),-1000.00 (133.35-173.35 = 40.00) 22200PE 12:41:00,2777.50 (112.05-0.95 = -111.10) 22200CE,2777.50 (112.05-0.95 = -111.10) 22200CE,-1250.00 (133.35-183.35 = 50.00) 22200PE 12:41:00,
,,,,,,,,,,,,,
Date,Profit,Exit Time,Max Profit/Loss,MTM Exit Type,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,(3) BN Sell 1 Lot ATM CE,(4) BN Sell 1 Lot ATM PE,
31 Jul 2020 (Fri),3423,14:55,3716/-1133,-,83.7 (0.39%),24.79 - 24.53,-,-95.45 (21645.50-21550.05),201.25 (411-402.95 = -8.05) 21600PE,2236.25 (479.45-390 = -89.45) 21600CE,2236.25 (479.45-390 = -89.45) 21600CE,-1250.00 (411-461 = 50.00) 21600PE 10:10:00,
3 Aug 2020 (Mon),-2500,12:59,628/-2733,Stop Loss Hit,-96.25 (-0.44%),25.23 - 25.31,-,-223.60 (21293.35-21069.75),-2250.00 (357.05-447.05 = 90.00) 21300PE,2211.25 (350.15-261.7 = -88.45) 21300CE,-1250.00 (350.15-400.15 = 50.00) 21300CE 10:16:00,-1250.00 (357.05-407.05 = 50.00) 21300PE 12:40:00,
4 Aug 2020 (Tue),4896,14:55,5143/-100,-,176.15 (0.84%),24.68 - 23.87,-,258.10 (21286.60-21544.70),4168.75 (312.75-146 = -166.75) 21300PE,-2191.50 (292.2-379.86 = 87.66) 21300CE 13:15:00,-1250.00 (292.2-342.2 = 50.00) 21300CE 10:33:00,4168.75 (312.75-146 = -166.75) 21300PE,
5 Aug 2020 (Wed),5887,14:55,5985/-82,-,196.35 (0.91%),23.49 - 23.68,Day Open > PDH,-384.80 (21874.10-21489.30),-1659.75 (221.3-287.69 = 66.39) 21900PE 11:46:00,4398.75 (232.85-56.9 = -175.95) 21900CE,4398.75 (232.85-56.9 = -175.95) 21900CE,-1250.00 (221.3-271.3 = 50.00) 21900PE 11:41:00,
6 Aug 2020 (Thu),-2500,11:07,234/-5105,Stop Loss Hit,134.3 (0.62%),23.53 - 23.44,-,-10.15 (21596.35-21586.20),-1314.00 (175.2-227.76 = 52.56) 21600PE 11:07:00,-57.50 (172.2-174.5 = 2.30) 21600CE,-1250.00 (172.2-222.2 = 50.00) 21600CE 10:20:00,-1250.00 (175.2-225.2 = 50.00) 21600PE 11:07:00,
,,,,,,,,,,,,,
Date,Profit,Exit Time,Max Profit/Loss,MTM Exit Type,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,(3) BN Sell 1 Lot ATM CE,(4) BN Sell 1 Lot ATM PE,
7 Aug 2020 (Fri),3148,14:55,3616/-456,-,-22.35 (-0.1%),22.95 - 22.64,-,138.00 (21595.65-21733.65),2693.75 (382.95-275.2 = -107.75) 21600PE,-988.75 (386-425.55 = 39.55) 21600CE,-1250.00 (386-436 = 50.00) 21600CE 12:00:00,2693.75 (382.95-275.2 = -107.75) 21600PE,
